cur_alternate_com_name,sci_name
Hybride Fuligule morillon x Petit Fuligule,Aythya fuligula x affinis
Fuligule milouinan ou Petit Fuligule,Aythya marila/affinis
Hybride Fuligule a dos blanc x F. milouinan ou Petit Fuligule,Aythya valisineria x marila/affinis
Hybride Fuligule a tete rouge x F. milouinan ou Petit Fuligule,Aythya americana x marila/affinis
Hybride Fuligule a collier x F. milouinan ou Petit Fuligule,Aythya collaris x marila/affinis
Hybride Fuligule morillon x F. milouinan ou Petit Fuligule,Aythya fuligula x marila/affinis
Aythya sp.,Aythya sp.
Eider de Steller,Polysticta stelleri
Eider a lunettes,Somateria fischeri
Eider a tete grise,Somateria spectabilis
Hybride Eider a lunettes x E. a tete grise,Somateria fischeri x spectabilis
Eider a duvet,Somateria mollissima
Eider a duvet (mollissima),Somateria mollissima mollissima
Eider a duvet (faeroeensis),Somateria mollissima faeroeensis
Eider a duvet (v-nigrum),Somateria mollissima v-nigrum
Eider a duvet (dresseri),Somateria mollissima dresseri
Eider a duvet (borealis),Somateria mollissima borealis
Eider a duvet (sedentaria),Somateria mollissima sedentaria
Hybride Canard colvert x Eider a duvet,Anas platyrhynchos x Somateria mollissima
Eider a tete grise ou E. a duvet,Somateria spectabilis/mollissima
Hybride Eider a tete grise x E. a duvet,Somateria spectabilis x mollissima
Somateria sp.,Somateria sp.
Arlequin plongeur,Histrionicus histrionicus
Eider du Labrador,Camptorhynchus labradorius
Macreuse a front blanc,Melanitta perspicillata
Macreuse brune,Melanitta fusca
Macreuse a ailes blanches,Melanitta deglandi
Macreuse de Siberie,Melanitta stejnegeri
Hybride Macreuse a front blanc x M. a ailes blanches,Melanitta perspicillata x deglandi
"Macreuse brune, M. a ailes blanches ou M. de Siberie",Melanitta fusca/deglandi/stejnegeri
Macreuse a ailes blanches ou M. de Siberie,Melanitta deglandi/stejnegeri
Macreuse noire,Melanitta nigra
Macreuse a bec jaune,Melanitta americana
Macreuse a front blanc ou M. a bec jaune,Melanitta perspicillata/americana
Macreuse noire ou M. a bec jaune,Melanitta nigra/americana
Melanitta sp.,Melanitta sp.
Harelde kakawi,Clangula hyemalis
Petit Garrot,Bucephala albeola
Garrot a oeil d'or,Bucephala clangula
Hybride Petit Garrot x G. a oeil d'or,Bucephala albeola x clangula
Hybride Petit Garrot x G. a oeil d'or ou G. d'Islande,Bucephala albeola x clangula/islandica
Garrot d'Islande,Bucephala islandica
Hybride Garrot a oeil d'or x G. d'Islande,Bucephala clangula x islandica
Garrot a oeil d'or ou G. d'Islande,Bucephala clangula/islandica
Harle piette,Mergellus albellus
Hybride Garrot a oeil d'or x Harle piette,Bucephala clangula x Mergellus albellus
Harle couronne,Lophodytes cucullatus
Hybride Canard branchu x Harle couronne,Aix sponsa x Lophodytes cucullatus
Hybride Petit Garrot x Harle couronne,Bucephala albeola x Lophodytes cucullatus
Hybride Garrot a oeil d'or x Harle couronne,Bucephala clangula x Lophodytes cucullatus
Hybride Garrot d'Islande x Harle couronne,Bucephala islandica x Lophodytes cucullatus
Hybride Garrot a oeil d'or ou G. d'Islande x Harle couronne,Bucephala clangula/islandica x Lophodytes cucullatus
