species_code,avibase_code,taxon_order,category,primary_com_name,cur_alternate_com_name,sci_name,com_name_locale_code
brntin1,avibase-312C8577,73,issf,Brown Tinamou (castaneus),Tinamou brun (castaneus),Crypturellus obsoletus castaneus,fr
brntin2,avibase-40F0CAA1,74,issf,Brown Tinamou (Brown),Tinamou brun (groupe obsoletus),Crypturellus obsoletus [obsoletus Group],fr
undtin1,avibase-7A600A0F,83,species,Undulated Tinamou,Tinamou vermicule,Crypturellus undulatus,fr
pabtin1,avibase-D303E7FF,90,species,Pale-browed Tinamou,Tinamou a grands sourcils,Crypturellus transfasciatus,fr
bratin1,avibase-FE2B5A6B,91,species,Brazilian Tinamou,Tinamou oariana,Crypturellus strigulosus,fr
gyltin1,avibase-D2592D39,92,species,Gray-legged Tinamou,Tinamou de Zimmer,Crypturellus duidae,fr
reltin1,avibase-4E03F38D,93,species,Red-legged Tinamou,Tinamou a pieds rouges,Crypturellus erythropus,fr
yeltin1,avibase-7507BE36,101,species,Yellow-legged Tinamou,Tinamou noctivague,Crypturellus noctivagus,fr
yeltin2,avibase-5D053169,102,issf,Yellow-legged Tinamou (zabele),Tinamou noctivague (zabele),Crypturellus noctivagus zabele,fr
yeltin3,avibase-55A93510,103,issf,Yellow-legged Tinamou (noctivagus),Tinamou noctivague (noctivagus),Crypturellus noctivagus noctivagus,fr
blctin1,avibase-41631439,104,species,Black-capped Tinamou,Tinamou a calotte noire,Crypturellus atrocapillus,fr
slbtin1,avibase-5183B60E,107,species,Slaty-breasted Tinamou,Tinamou de Boucard,Crypturellus boucardi,fr
chotin1,avibase-2ED97B54,110,species,Choco Tinamou,Tinamou de Kerr,Crypturellus kerriae,fr
vartin1,avibase-F8BBC7A7,111,species,Variegated Tinamou,Tinamou varie,Crypturellus variegatus,fr
thitin1,avibase-AAB5CEED,112,species,Thicket Tinamou,Tinamou cannelle,Crypturellus cinnamomeus,fr
thitin2,avibase-8A2D8FB6,113,issf,Thicket Tinamou (occidentalis),Tinamou cannelle (occidentalis),Crypturellus cinnamomeus occidentalis,fr
thitin3,avibase-BC6EF580,114,issf,Thicket Tinamou (cinnamomeus Group),Tinamou cannelle (groupe cinnamomeus),Crypturellus cinnamomeus [cinnamomeus Group],fr
rustin1,avibase-45EE168A,123,species,Rusty Tinamou,Tinamou rubigineux,Crypturellus brevirostris,fr
bartin2,avibase-88B9ABC1,124,species,Bartlett's Tinamou,Tinamou de Bartlett,Crypturellus bartletti,fr
smbtin1,avibase-2988DEC6,125,species,Small-billed Tinamou,Tinamou a petit bec,Crypturellus parvirostris,fr
bartin1,avibase-26D1CE28,126,species,Barred Tinamou,Tinamou barre,Crypturellus casiquiare,fr
