,keyword,mean
742,Crane Hawk,11.77130045
743,Cream-colored Woodpecker,1.242152466
744,Cream-coloured Courser,3.224215247
745,Crescent-chested Warbler,3.452914798
746,Crescent Honeyeater,13.16591928
747,Crested Auklet,5.730941704
748,Crested Barbet,23.13452915
749,Crested Bellbird,2.748878924
750,Crested Bunting,6.820627803
751,Crested Caracara,22.31838565
752,Crested Coua,7.080717489
753,Crested Duck,27.92825112
754,Crested Eagle,27.78923767
755,Crested Francolin,6.914798206
756,Crested Goshawk,14.33183857
757,Crested Guan,3.443946188
758,Crested Jay,18.67713004
759,Crested Kingfisher,12.49775785
760,Crested Lark,20.46636771
761,Crested Myna,15
762,Crested Oropendola,5.174887892
763,Crested Owl,24.98206278
764,Crested Partridge,6.67264574
765,Crested Pigeon,23.48430493
766,Crested Quetzal,3.331838565
767,Crested Tit,18.97757848
768,Crested Treeswift,4.080717489
769,Crimson-rumped Toucanet,4.98206278
770,Crimson Chat,10.89237668
771,Crimson Fruitcrow,3.780269058
772,Crimson Rosella,34.17040359
773,Crimson Sunbird,25.20627803
774,Crimson Topaz,5.255605381
775,Crissal Thrasher,3.273542601
776,Crowned Eagle,13.71300448
777,Crowned Hornbill,11.20179372
778,Crowned Lapwing,5.932735426
779,Crowned Solitary Eagle,5.426008969
780,Crowned Woodnymph,5.865470852
781,Cuban Amazon,49.24663677
782,Cuban Bullfinch,5.30941704
783,Cuban Crow,15.88789238
784,Cuban Emerald,10.57399103
785,Cuban Grassquit,4.605381166
786,Cuban Green Woodpecker,2.313901345
787,Cuban Kite,5.928251121
788,Cuban Martin,6.417040359
789,Cuban Pewee,1.708520179
790,Cuban Solitaire,14.17488789
791,Cuban Tody,18.01345291
792,Cuban Trogon,9.282511211
793,Cuban Vireo,2.103139013
794,Cuckoo Roller,8.802690583
795,Curl-crested Jay,1.206278027
796,Curl-crested Manucode,2.295964126
797,Curlew Sandpiper,26.78026906
798,Curve-billed Thrasher,8.717488789
799,Dalmatian Pelican,6.69058296
800,Dark-billed Cuckoo,1.255605381
801,Dark-eyed Junco,10.50224215
802,Dark-necked Tailorbird,1.64573991
803,Daurian Jackdaw,8.677130045
804,Daurian Redstart,3.946188341
805,Dead Sea Sparrow,3.762331839
806,Demoiselle Crane,19.14798206
