"","family","year","n"
"724","Thamnophilidae",2011,29228
"725","Rhinocryptidae",2006,1956
"726","Spheniscidae",2007,55170
"727","Pycnonotidae",2010,60389
"728","Acrocephalidae",2004,109680
"729","Megapodiidae",2008,2794
"730","Picidae",2005,408475
"731","Cettiidae",2009,29198
"732","Locustellidae",2011,30265
"733","Galbulidae",2004,1164
"734","Cuculidae",2004,54863
"735","Hirundinidae",2005,310130
"736","Psittacidae",2014,385694
"737","Formicariidae",2007,1280
"738","Sturnidae",2008,315972
"739","Maluridae",2012,39217
"740","Icteridae",2012,1387093
"741","Furnariidae",2009,36389
"742","Tyrannidae",2004,194852
"743","Zosteropidae",2010,37055
"744","Tyrannidae",2016,2292383
"745","Eurylaimidae",2017,5092
"746","Zosteropidae",2004,18234
"747","Phasianidae",2020,870956
"748","Bucerotidae",2016,52384
"749","Rhipiduridae",2018,179202
"750","Icteridae",2018,4374022
"751","Dromaiidae",2008,1793
"752","Picidae",2006,533144
"753","Paridae",2004,418718
"754","Threskiornithidae",2012,188215
"755","Phoenicopteridae",2005,3480
"756","Acanthizidae",2008,61825
"757","Estrildidae",2018,262071
"758","Vireonidae",2014,563280
"759","Ploceidae",2009,239858
"760","Artamidae",2006,10081
"761","Galbulidae",2006,1543
"762","Pellorneidae",2012,9020
"763","Timaliidae",2018,51700
"764","Thraupidae",2009,78131
"765","Pipridae",2008,7071
"766","Tyrannidae",2008,351771
"767","Pycnonotidae",2011,69689
"768","Zosteropidae",2009,79510
"769","Apodidae",2012,226670
"770","Nectariniidae",2008,33336
"771","Psittacidae",2010,193989
"772","Dromadidae",2014,586
"773","Caprimulgidae",2016,115099
"774","Alcedinidae",2012,278697
"775","Zosteropidae",2007,35094
"776","Hydrobatidae",2013,12079
"777","Timaliidae",2008,6347
"778","Ardeidae",2014,1984281
"779","Icteridae",2004,252952
"780","Trogonidae",2006,6638
"781","Emberizidae",2008,981491
"782","Muscicapidae",2005,296146
"783","Alaudidae",2005,59419
"784","Fringillidae",2004,593029
"785","Fringillidae",2006,787990
"786","Leiothrichidae",2015,67361
"787","Sturnidae",2005,182884
"788","Paridae",2006,597011
"789","Furnariidae",2011,45492
"790","Coraciidae",2009,11204
"791","Momotidae",2006,3123
"792","Mimidae",2006,141507
"793","Spheniscidae",2004,62012
"794","Tyrannidae",2009,447979
"795","Cardinalidae",2004,164014
"796","Platysteiridae",2006,1279
"797","Thamnophilidae",2006,15689
"798","Meliphagidae",2008,144507
"799","Estrildidae",2008,67860
"800","Odontophoridae",2005,19897
"801","Estrildidae",2013,79887
"802","Pipridae",2013,11783
"803","Gruidae",2016,219042
"804","Trochilidae",2014,600304
"805","Phasianidae",2007,142941
"806","Estrildidae",2017,209140
"807","Hydrobatidae",2016,25470
"808","Tyrannidae",2019,4330749
"809","Meliphagidae",2012,192495
"810","Hydrobatidae",2009,12909
"811","Muscicapidae",2014,849545
"812","Tephrodornithidae",2018,14391
"813","Cisticolidae",2018,394136
"814","Pycnonotidae",2013,91075
"815","Phoeniculidae",2009,5588
"816","Gruidae",2015,172289
"817","Mimidae",2005,109510
"818","Bombycillidae",2006,65289
"819","Pellorneidae",2006,5078
"820","Laniidae",2008,81095
"821","Icteridae",2008,506346
