"","english_name","french_name","sci_name","spanish_name","en_count","en_mean","fr_count","fr_mean","spa_count","spa_mean"
"38","Thicket Tinamou","Tinamou cannelle","Crypturellus cinnamomeus","Tinamu Canelo",NA,NA,NA,NA,NA,NA
"39","Thicket Tinamou (occidentalis)","Tinamou cannelle (occidentalis)","Crypturellus cinnamomeus occidentalis","Tinamu Canelo (occidentalis)",NA,NA,NA,NA,NA,NA
"40","Thicket Tinamou (cinnamomeus Group)","Tinamou cannelle (groupe cinnamomeus)","Crypturellus cinnamomeus [cinnamomeus Group]","Tinamu Canelo (grupo cinnamomeus)",NA,NA,NA,NA,NA,NA
"41","Rusty Tinamou","Tinamou rubigineux","Crypturellus brevirostris","Tinamu Herrumbroso",NA,NA,NA,NA,NA,NA
"42","Bartlett's Tinamou","Tinamou de Bartlett","Crypturellus bartletti","Tinamu de Bartlett",NA,NA,NA,NA,NA,NA
"43","Small-billed Tinamou","Tinamou a petit bec","Crypturellus parvirostris","Tinamu Piquicorto",NA,NA,NA,NA,NA,NA
"44","Barred Tinamou","Tinamou barre","Crypturellus casiquiare","Tinamu del Casiquiare",NA,NA,NA,NA,NA,NA
"45","Tataupa Tinamou","Tinamou tataupa","Crypturellus tataupa","Tinamu Tataupa",NA,NA,NA,NA,NA,NA
"46","Crypturellus sp.","Crypturellus sp.","Crypturellus sp.","Crypturellus sp.",NA,NA,NA,NA,NA,NA
"47","Red-winged Tinamou","Tinamou isabelle","Rhynchotus rufescens","Tinamu Alirrojo",NA,NA,NA,NA,NA,NA
"48","Huayco Tinamou","Tinamou huayco","Rhynchotus maculicollis","Tinamu Huayco",NA,NA,NA,NA,NA,NA
"49","Taczanowski's Tinamou","Tinamou de Taczanowski","Nothoprocta taczanowskii","Tinamu de Taczanowski",NA,NA,NA,NA,NA,NA
"50","Ornate Tinamou","Tinamou orne","Nothoprocta ornata","Tinamu Pisacca",NA,NA,NA,NA,NA,NA
"51","Chilean Tinamou","Tinamou perdrix","Nothoprocta perdicaria","Tinamu Chileno",1070,4.8,NA,NA,NA,NA
"52","Brushland Tinamou","Tinamou sauvageon","Nothoprocta cinerascens","Tinamu Montaraz",NA,NA,NA,NA,NA,NA
"53","Andean Tinamou","Tinamou des Andes","Nothoprocta pentlandii","Tinamu Andino",NA,NA,NA,NA,NA,NA
"54","Curve-billed Tinamou","Tinamou curvirostre","Nothoprocta curvirostris","Tinamu del Paramo",NA,NA,NA,NA,NA,NA
"55","Nothoprocta sp.","Nothoprocta sp.","Nothoprocta sp.","Nothoprocta sp.",NA,NA,NA,NA,NA,NA
"56","White-bellied Nothura","Tinamou boraquira","Nothura boraquira","Tinamu Ventriblanco",NA,NA,NA,NA,NA,NA
"57","Lesser Nothura","Petit Tinamou","Nothura minor","Tinamu Menor",NA,NA,NA,NA,NA,NA
"58","Darwin's Nothura","Tinamou de Darwin","Nothura darwinii","Tinamu de Darwin",NA,NA,NA,NA,NA,NA
"59","Spotted Nothura","Tinamou tachete","Nothura maculosa","Tinamu Manchado",NA,NA,NA,NA,NA,NA
"60","Dwarf Tinamou","Tinamou carape","Taoniscus nanus","Tinamu Enano",NA,NA,NA,NA,NA,NA
"61","Elegant Crested-Tinamou","Tinamou elegant","Eudromia elegans","Martineta Comun",NA,NA,NA,NA,768,3.46
"62","Quebracho Crested-Tinamou","Tinamou superbe","Eudromia formosa","Martineta Chaquena",NA,NA,NA,NA,NA,NA
"63","Puna Tinamou","Tinamou quioula","Tinamotis pentlandii","Kiula Andina",NA,NA,NA,NA,NA,NA
"64","Patagonian Tinamou","Tinamou de Patagonie","Tinamotis ingoufi","Kiula Patagona",NA,NA,NA,NA,NA,NA
"65","tinamou sp.","Tinamou sp.","Tinamidae sp.","Tinamidae sp.",NA,NA,NA,NA,NA,NA
"66","Southern Cassowary","Casoar a casque","Casuarius casuarius","Casuario Comun",3405,15.27,958,4.32,814,3.67
"67","Dwarf Cassowary","Casoar de Bennett","Casuarius bennetti","Casuario Menor",2113,9.48,NA,NA,NA,NA
"68","Northern Cassowary","Casoar unicaroncule","Casuarius unappendiculatus","Casuario Unicarunculado",2237,10.03,NA,NA,NA,NA
"69","Emu","emeu d'Australie","Dromaius novaehollandiae","Emu",NA,NA,NA,NA,8370,37.7
"70","Southern Brown Kiwi","Kiwi austral","Apteryx australis","Kiwi Sureno",562,2.52,1267,5.71,NA,NA
"71","Southern Brown Kiwi (South I.)","Kiwi austral (australis)","Apteryx australis australis","Kiwi Sureno (I. Sur)",NA,NA,NA,NA,NA,NA
"72","Southern Brown Kiwi (Stewart I.)","Kiwi austral (lawryi)","Apteryx australis lawryi","Kiwi Sureno (I. de Stewart)",NA,NA,NA,NA,NA,NA
"73","Okarito Brown Kiwi","Kiwi d'Okarito","Apteryx rowi","Kiwi de Okarito",NA,NA,NA,NA,NA,NA
"74","North Island Brown Kiwi","Kiwi de Mantell","Apteryx mantelli","Kiwi Norteno",2050,9.19,NA,NA,NA,NA
"75","Little Spotted Kiwi","Kiwi d'Owen","Apteryx owenii","Kiwi Moteado Menor",1945,8.72,NA,NA,NA,NA
"76","Great Spotted Kiwi","Kiwi roa","Apteryx haastii","Kiwi Moteado Mayor",1403,6.29,1884,8.49,NA,NA
"77","kiwi sp.","Kiwi sp.","Apteryx sp.","Kiwi sp.",NA,NA,NA,NA,NA,NA
"78","Horned Screamer","Kamichi cornu","Anhima cornuta","Chaja Anuma",1642,7.36,825,3.72,NA,NA
"79","Southern Screamer","Kamichi a collier","Chauna torquata","Chaja Comun",1566,7.02,NA,NA,NA,NA
"80","Northern Screamer","Kamichi chavaria","Chauna chavaria","Chaja Chicaguire",1721,7.72,NA,NA,NA,NA
"81","Magpie Goose","Canaroie semipalmee","Anseranas semipalmata","Ganso Urraca",4061,18.21,NA,NA,389,1.75
"82","Spotted Whistling-Duck","Dendrocygne tachete","Dendrocygna guttata","Suiriri Moteado",NA,NA,NA,NA,NA,NA
"83","Plumed Whistling-Duck","Dendrocygne d'Eyton","Dendrocygna eytoni","Suiriri Australiano",NA,NA,NA,NA,NA,NA
"84","White-faced Whistling-Duck","Dendrocygne veuf","Dendrocygna viduata","Suiriri Cariblanco",NA,NA,892,4.02,NA,NA
"85","Spotted x White-faced Whistling-Duck (hybrid)","Hybride Dendrocygne tachete x D. veuf","Dendrocygna guttata x viduata","Suriri Moteado x Cariblanco (hibrido)",NA,NA,NA,NA,NA,NA
"86","Black-bellied Whistling-Duck","Dendrocygne a ventre noir","Dendrocygna autumnalis","Suiriri Piquirrojo",NA,NA,NA,NA,NA,NA
"87","Black-bellied Whistling-Duck (fulgens)","Dendrocygne a ventre noir (fulgens)","Dendrocygna autumnalis fulgens","Suiriri Piquirrojo (fulgens)",NA,NA,NA,NA,NA,NA
"88","Black-bellied Whistling-Duck (autumnalis)","Dendrocygne a ventre noir (autumnalis)","Dendrocygna autumnalis autumnalis","Suiriri Piquirrojo (autumnalis)",NA,NA,NA,NA,NA,NA
"89","West Indian Whistling-Duck","Dendrocygne des Antilles","Dendrocygna arborea","Suiriri Yaguaza",NA,NA,NA,NA,NA,NA
"90","Black-bellied x West Indian Whistling-Duck (hybrid)","Hybride Dendrocygne a ventre noir x D. des Antilles","Dendrocygna autumnalis x arborea","Suiriri Piquirrojo x Yaguaza (hibrido)",NA,NA,NA,NA,NA,NA
"91","Fulvous Whistling-Duck","Dendrocygne fauve","Dendrocygna bicolor","Suiriri Bicolor",NA,NA,1648,7.42,NA,NA
"92","White-faced x Fulvous Whistling-Duck (hybrid)","Hybride Dendrocygne veuf x D. fauve","Dendrocygna viduata x bicolor","Suiriri Cariblanco x Bicolor (hibrido)",NA,NA,NA,NA,NA,NA
"93","Black-bellied x Fulvous Whistling-Duck (hybrid)","Hybride Dendrocygne a ventre noir x D. fauve","Dendrocygna autumnalis x bicolor","Suiriri Piquirrojo x Bicolor (hibrido)",NA,NA,NA,NA,NA,NA
"94","Wandering Whistling-Duck","Dendrocygne a lunules","Dendrocygna arcuata","Suiriri Capirotado",NA,NA,NA,NA,NA,NA
"95","Lesser Whistling-Duck","Dendrocygne siffleur","Dendrocygna javanica","Suiriri de Java",NA,NA,NA,NA,NA,NA
"96","Fulvous/Lesser Whistling-Duck","Dendrocygne fauve ou D. siffleur","Dendrocygna bicolor/javanica","Suiriri Bicolor/de Java",NA,NA,NA,NA,NA,NA
"97","Wandering x Lesser Whistling-Duck (hybrid)","Hybride Dendrocygne a lunules x D. siffleur","Dendrocygna arcuata x javanica","Suiriri Capirotado x de Java (hibrido)",NA,NA,NA,NA,NA,NA
"98","whistling-duck sp.","Dendrocygna sp.","Dendrocygna sp.","Suiriri sp.",NA,NA,NA,NA,NA,NA
"99","White-backed Duck","Dendrocygne a dos blanc","Thalassornis leuconotus","Pato Dorsiblanco",NA,NA,NA,NA,NA,NA
"100","Bar-headed Goose","Oie a tete barree","Anser indicus","ansar Indio",2675,12,NA,NA,3234,14.57
"101","Emperor Goose","Oie empereur","Anser canagicus","ansar Emperador",2740,12.29,1434,6.46,NA,NA
"102","Snow Goose","Oie des neiges","Anser caerulescens","ansar Nival",7253,32.52,2884,12.99,NA,NA
"103","Ross's Goose","Oie de Ross","Anser rossii","ansar de Ross",NA,NA,1638,7.38,NA,NA
"104","Snow x Ross's Goose (hybrid)","Hybride Oie des neiges x O. de Ross","Anser caerulescens x rossii","ansar Nival x de Ross (hibrido)",NA,NA,NA,NA,NA,NA
"105","Snow/Ross's Goose","Oie des neiges ou O. de Ross","Anser caerulescens/rossii","ansar Nival/de Ross",NA,NA,NA,NA,NA,NA
"106","Graylag Goose","Oie cendree","Anser anser","ansar Comun",NA,NA,2064,9.3,2004,9.03
"107","Graylag Goose (European)","Oie cendree (anser)","Anser anser anser","ansar Comun (europeo)",NA,NA,NA,NA,NA,NA
"108","Graylag Goose (Siberian)","Oie cendree (rubrirostris)","Anser anser rubrirostris","ansar Comun (siberiano)",NA,NA,NA,NA,NA,NA
"109","Graylag Goose (Domestic type)","Oie cendree (forme domestique)","Anser anser (Domestic type)","ansar Comun (domestico)",NA,NA,NA,NA,NA,NA
"110","Swan Goose","Oie cygnoide","Anser cygnoides","ansar Cisnal",11184,50.15,NA,NA,NA,NA
"111","Swan Goose (Domestic type)","Oie cygnoide (forme domestique)","Anser cygnoides (Domestic type)","ansar Cisnal (domestico)",NA,NA,NA,NA,NA,NA
"112","Graylag x Swan Goose (Domestic type) (hybrid)","Hybride Oie cendree x O. cygnoide (forme domestique)","Anser anser x cygnoides (Domestic type)","ansar Comun x Cisnal (hibrido) (domestico)",NA,NA,NA,NA,NA,NA
"113","Greater White-fronted Goose","Oie rieuse","Anser albifrons","ansar Careto",735,3.3,6973,31.41,NA,NA
"114","Greater White-fronted Goose (Greenland)","Oie rieuse (flavirostris)","Anser albifrons flavirostris","ansar Careto (Groenlandia)",NA,NA,NA,NA,NA,NA
"115","Greater White-fronted Goose (Eurasian)","Oie rieuse (albifrons)","Anser albifrons albifrons","ansar Careto (euroasiatico)",NA,NA,NA,NA,NA,NA
"116","Greater White-fronted Goose (Western)","Oie rieuse (gambelli/sponsa)","Anser albifrons gambelli/sponsa","ansar Careto (occidental)",NA,NA,NA,NA,NA,NA
"117","Greater White-fronted Goose (Tule)","Oie rieuse (elgasi)","Anser albifrons elgasi","ansar Careto (mayor)",NA,NA,NA,NA,NA,NA
"118","Bar-headed x Greater White-fronted Goose (hybrid)","Hybride Oie a tete barree x O. rieuse","Anser indicus x albifrons","ansar Indio x Careto (hibrido)",NA,NA,NA,NA,NA,NA
"119","Emperor x Greater White-fronted Goose (hybrid)","Hybride Oie empereur x O. rieuse","Anser canagicus x albifrons","ansar Emperador x Careto (hibrido)",NA,NA,NA,NA,NA,NA
"120","Snow x Greater White-fronted Goose (hybrid)","Hybride Oie des neiges x O. rieuse","Anser caerulescens x albifrons","ansar Nival x Careto (hibrido)",NA,NA,NA,NA,NA,NA
"121","Ross's x Greater White-fronted Goose (hybrid)","Hybride Oie de Ross x O. rieuse","Anser rossii x albifrons","ansar de Ross x Careto (hibrido)",NA,NA,NA,NA,NA,NA
"122","Lesser White-fronted Goose","Oie naine","Anser erythropus","ansar Chico",NA,NA,1756,7.91,NA,NA
"123","Greater/Lesser White-fronted Goose","Oie rieuse ou O. naine","Anser albifrons/erythropus","ancar Careto/Chico",NA,NA,NA,NA,NA,NA
"124","Taiga Bean-Goose","Oie des moissons","Anser fabalis","ansar Campestre de La Taiga",NA,NA,1614,7.27,NA,NA
"125","Tundra Bean-Goose","Oie de la toundra","Anser serrirostris","ansar Campestre de La Tundra",NA,NA,NA,NA,NA,NA
"126","Taiga/Tundra Bean-Goose","Oie des moissons ou O. de la toundra","Anser fabalis/serrirostris","ansar Campestre/de La Tundra",NA,NA,NA,NA,NA,NA
"127","Pink-footed Goose","Oie a bec court","Anser brachyrhynchus","ansar Piquicorto",777,3.48,NA,NA,NA,NA
"128","Domestic goose sp. (Domestic type)","Anser sp. (forme domestique)","Anser sp. (Domestic type)","ansar sp. (domestico)",NA,NA,NA,NA,NA,NA
"129","Anser sp.","Anser sp.","Anser sp.","ansar sp.",NA,NA,NA,NA,NA,NA
"130","Brant","Bernache cravant","Branta bernicla","Barnacla Carinegra",NA,NA,4807,21.65,1080,4.86
"131","Brant (Dark-bellied)","Bernache cravant (bernicla)","Branta bernicla bernicla","Barnacla Carinegra (bernicla)",NA,NA,NA,NA,NA,NA
"132","Brant (Atlantic)","Bernache cravant (hrota)","Branta bernicla hrota","Barnacla Carinegra (hrota)",NA,NA,NA,NA,NA,NA
"133","Brant (Black)","Bernache cravant (nigricans)","Branta bernicla nigricans","Barnacla Carinegra (nigricans)",NA,NA,NA,NA,NA,NA
"134","Brant (Gray-bellied)","Bernache cravant (forme a ventre gris)","Branta bernicla (Gray-bellied)","Barnacla Carinegra (glaucogastra)",NA,NA,NA,NA,NA,NA
"135","Brant (Atlantic x Black)","Bernache cravant (hrota x nigricans)","Branta bernicla hrota x nigricans","Barnacla Carinegra (hrota x nigricans)",NA,NA,NA,NA,NA,NA
"136","Snow Goose x Brant (hybrid)","Hybride Oie des neiges x Bernache cravant","Anser caerulescens x Branta bernicla","ansar Nival x Barnacla Carinegra (hibrido)",NA,NA,NA,NA,NA,NA
"137","Barnacle Goose","Bernache nonnette","Branta leucopsis","Barnacla Cariblanca",9810,43.99,2627,11.83,1328,5.98
"138","Bar-headed x Barnacle Goose (hybrid)","Hybride Oie a tete barree x Bernache nonnette","Anser indicus x Branta leucopsis","ansar Indio x Barnacla Cariblanca (hibrido)",NA,NA,NA,NA,NA,NA
"139","Graylag x Barnacle Goose (hybrid)","Hybride Oie cendree x Bernache nonnette","Anser anser x Branta leucopsis","ansar Comun x Barnacla Cariblanca (hibrido)",NA,NA,NA,NA,NA,NA
"140","Greater White-fronted x Barnacle Goose (hybrid)","Hybride Oie rieuse x Bernache nonnette","Anser albifrons x Branta leucopsis","ansar Careto x Barnacla Cariblanca (hibrido)",NA,NA,NA,NA,NA,NA
"141","Lesser White-fronted x Barnacle Goose (hybrid)","Hybride Oie naine x Bernache nonnette","Anser erythropus x Branta leucopsis","ansar Chico x Barnacla Cariblanca (hibrido)",NA,NA,NA,NA,NA,NA
"142","Pink-footed x Barnacle Goose (hybrid)","Hybride Oie a bec court x Bernache nonnette","Anser brachyrhynchus x Branta leucopsis","ansar Piquicorto x Barnacla Cariblanca (hibrido)",NA,NA,NA,NA,NA,NA
"143","Cackling Goose","Bernache de Hutchins","Branta hutchinsii","Barnacla Canadiense Chica",3565,15.99,NA,NA,NA,NA
"144","Cackling Goose (Aleutian)","Bernache de Hutchins (leucopareia)","Branta hutchinsii leucopareia","Barnacla Canadiense Chica (leucopareia)",NA,NA,NA,NA,NA,NA
"145","Cackling Goose (Richardson's)","Bernache de Hutchins (hutchinsii)","Branta hutchinsii hutchinsii","Barnacla Canadiense Chica (hutchinsii)",NA,NA,NA,NA,NA,NA
"146","Cackling Goose (minima)","Bernache de Hutchins (minima)","Branta hutchinsii minima","Barnacla Canadiense Chica (minima)",NA,NA,NA,NA,NA,NA
"147","Cackling Goose (Taverner's)","Bernache de Hutchins (taverneri)","Branta hutchinsii taverneri","Barnacla Canadiense Chica (taverneri)",NA,NA,NA,NA,NA,NA
"148","Emperor x Cackling Goose (hybrid)","Hybride Oie empereur x Bernache de Hutchins","Anser canagicus x Branta hutchinsii","ansar Emperador x Barnacla Canadiense Chica (hibrido)",NA,NA,NA,NA,NA,NA
"149","Snow x Cackling Goose (hybrid)","Hybride Oie des neiges x Bernache de Hutchins","Anser caerulescens x Branta hutchinsii","ansar Nival x Barnacla Canadiense Chica (hibrido)",NA,NA,NA,NA,NA,NA
"150","Ross's x Cackling Goose (hybrid)","Hybride Oie de Ross x Bernache de Hutchins","Anser rossii x Branta hutchinsii","ansar de Ross x Barnacla Canadiense Chica (hibrido)",NA,NA,NA,NA,NA,NA
"151","Brant x Cackling Goose (hybrid)","Hybride Bernache cravant x B. de Hutchins","Branta bernicla x hutchinsii","Barnacla Carinegra x Canadiense Chica (hibrido)",NA,NA,NA,NA,NA,NA
"152","Greater White-fronted x Cackling Goose (hybrid)","Hybride Oie rieuse x Bernache de Hutchins","Anser albifrons x Branta hutchinsii","ansar Careto x Barnacla Canadiense Chica (hibrido)",NA,NA,NA,NA,NA,NA
"153","Barnacle x Cackling Goose (hybrid)","Hybride Bernache nonnette x B. de Hutchins","Branta leucopsis x hutchinsii","Barnacla Cariblanca x Canadiense Chica (hibrido)",NA,NA,NA,NA,NA,NA
"154","Canada Goose","Bernache du Canada","Branta canadensis","Barnacla Canadiense Grande",4054,18.18,4953,22.31,NA,NA
"155","Canada Goose (moffitti/maxima)","Bernache du Canada (moffitti/maxima)","Branta canadensis moffitti/maxima","Barnacla Canadiense Grande (moffitti/maxima)",NA,NA,NA,NA,NA,NA
"156","Canada Goose (occidentalis/fulva)","Bernache du Canada (occidentalis/fulva)","Branta canadensis occidentalis/fulva","Barnacla Canadiense Grande (occidentalis/fulva)",NA,NA,NA,NA,NA,NA
"157","Canada Goose (canadensis Group)","Bernache du Canada (groupe canadensis)","Branta canadensis [canadensis Group]","Barnacla Canadiense Grande (grupo canadensis)",NA,NA,NA,NA,NA,NA
"158","Bar-headed x Canada Goose (hybrid)","Hybride Oie a tete barree x Bernache du Canada","Anser indicus x Branta canadensis","ansar Indio x Barnacla Canadiense Grande (hibrido)",NA,NA,NA,NA,NA,NA
"159","Swan Goose (Domestic type) x Canada Goose (hybrid)","Hybride Oie cygnoide (forme domestique) x Bernache du Canada","Anser cygnoides (Domestic type) x Branta canadensis","ansar Cisnal (Domestico) x Barnacla Canadiense Grande (hibrido)",NA,NA,NA,NA,NA,NA
"160","Pink-footed x Canada Goose (hybrid)","Hybride Oie a bec court x Bernache du Canada","Anser brachyrhynchus x Branta canadensis","ansar Piquicorto x Barnacla Canadiense Grande (hibrido)",NA,NA,NA,NA,NA,NA
"161","Greater White-fronted x Canada Goose (hybrid)","Hybride Oie rieuse x Bernache du Canada","Anser albifrons x Branta canadensis","ansar Careto x Barnacla Canadiense Grande (hibrido)",NA,NA,NA,NA,NA,NA
"162","Graylag x Canada Goose (hybrid)","Hybride Oie cendree x Bernache du Canada","Anser anser x Branta canadensis","ansar Comun x Barnacla Canadiense Grande (hibrido)",NA,NA,NA,NA,NA,NA
"163","Graylag Goose (Domestic type) x Canada Goose (hybrid)","Hybride Oie cendree (forme domestique) x Bernache du Canada","Anser anser (Domestic type) x Branta canadensis","ansar Comun (Domestico) x Barnacla Canadiense Grande (hibrido)",NA,NA,NA,NA,NA,NA
"164","Domestic goose sp. (Domestic type) x Canada Goose (hybrid)","Hybride Anser sp. (forme domestique) x Bernache du Canada","Anser sp. (Domestic type) x Branta canadensis","ansar sp. (Domestico) x Barnacla Canadiense Grande (hibrido)",NA,NA,NA,NA,NA,NA
"165","Snow x Canada Goose (hybrid)","Hybride Oie des neiges x Bernache du Canada","Anser caerulescens x Branta canadensis","ansar Nival x Barnacla Canadiense Grande (hibrido)",NA,NA,NA,NA,NA,NA
"166","Ross's x Canada Goose (hybrid)","Hybride Oie de Ross x Bernache du Canada","Anser rossii x Branta canadensis","ansar de Ross x Barnacla Canadiense Grande (hibrido)",NA,NA,NA,NA,NA,NA
"167","Barnacle x Canada Goose (hybrid)","Hybride Bernache nonnette x B. du Canada","Branta leucopsis x canadensis","Barnacla Cariblanca x Canadiense Grande (hibrido)",NA,NA,NA,NA,NA,NA
"168","Cackling/Canada Goose","Bernache de Hutchins ou B. du Canada","Branta hutchinsii/canadensis","Barnacla Canadiense Chica/Grande",NA,NA,NA,NA,NA,NA
"169","Snow/Ross's x Cackling/Canada Goose (hybrid)","Hybride Oie des neiges ou O. de Ross x Bernache de Hutchins ou B. du Canada","Anser caerulescens/rossii x Branta hutchinsii/canadensis","ansar Nival/De Ross x Barnacla Canadiense Chica/Grande (hibrido)",NA,NA,NA,NA,NA,NA
"170","Hawaiian Goose","Bernache nene","Branta sandvicensis","Barnacla Nene",2637,11.83,NA,NA,NA,NA
"171","Red-breasted Goose","Bernache a cou roux","Branta ruficollis","Barnacla Cuellirroja",1458,6.54,NA,NA,NA,NA
"172","Greater White-fronted x Red-breasted Goose (hybrid)","Hybride Oie rieuse x Bernache a cou roux","Anser albifrons x Branta ruficollis","ansar Careto x Barnacla Cuellirroja (hibrido)",NA,NA,NA,NA,NA,NA
"173","Barnacle x Red-breasted Goose (hybrid)","Hybride Bernache nonnette x B. a cou roux","Branta leucopsis x ruficollis","Barnacla Cariblanca x Cuellirroja (hibrido)",NA,NA,NA,NA,NA,NA
"174","Branta sp.","Branta sp.","Branta sp.","Barnacla sp.",NA,NA,NA,NA,NA,NA
"175","goose sp.","Anserinae sp.","Anser/Branta sp.","ansar/Barnacla sp.",NA,NA,NA,NA,NA,NA
"176","Cape Barren Goose","Cereopse cendre","Cereopsis novaehollandiae","Ganso Cenizo",2525,11.32,NA,NA,NA,NA
"177","Freckled Duck","Stictonette tachetee","Stictonetta naevosa","Pato Pecoso",1186,5.32,NA,NA,NA,NA
"178","Blue-winged Goose","Cyanoie a ailes bleues","Cyanochen cyanoptera","Ganso Aliazul",NA,NA,NA,NA,NA,NA
"179","Mute Swan","Cygne tubercule","Cygnus olor","Cisne Vulgar",4735,21.23,785,3.54,NA,NA
"180","Graylag Goose x Mute Swan (hybrid)","Hybride Oie cendree x Cygne tubercule","Anser anser x Cygnus olor","ansar Comun x Cisne Vulgar (hibrido)",NA,NA,NA,NA,NA,NA
"181","Black Swan","Cygne noir","Cygnus atratus","Cisne Negro",1218,5.46,3337,15.03,853.5,3.84
"182","Black-necked Swan","Cygne a cou noir","Cygnus melancoryphus","Cisne Cuellinegro",NA,NA,NA,NA,NA,NA
"183","Trumpeter Swan","Cygne trompette","Cygnus buccinator","Cisne Trompetero",6208,27.84,1360,6.13,1022,4.6
"184","Mute x Trumpeter Swan (hybrid)","Hybride Cygne tubercule x C. trompette","Cygnus olor x buccinator","Cisne Vulgar x Trompetero (hibrido)",NA,NA,NA,NA,NA,NA
"185","Tundra Swan","Cygne siffleur","Cygnus columbianus","Cisne Chico",5975,26.79,744,3.35,NA,NA
"186","Tundra Swan (Whistling)","Cygne siffleur (columbianus)","Cygnus columbianus columbianus","Cisne Chico (neartico)",NA,NA,NA,NA,NA,NA
"187","Tundra Swan (Bewick's)","Cygne siffleur (bewickii)","Cygnus columbianus bewickii","Cisne Chico (paleartico)",NA,NA,NA,NA,NA,NA
"188","Tundra Swan (Whistling x Bewick's)","Cygne siffleur (columbianus x bewickii)","Cygnus columbianus columbianus x bewickii","Cisne Chico (columbianus x bewickii)",NA,NA,NA,NA,NA,NA
"189","Trumpeter x Tundra Swan (hybrid)","Hybride Cygne trompette x C. siffleur","Cygnus buccinator x columbianus","Cisne Trompetero x Chico (hibrido)",NA,NA,NA,NA,NA,NA
"190","Trumpeter/Tundra Swan","Cygne trompette ou C. siffleur","Cygnus buccinator/columbianus","Cisne Trompetero/Chico",NA,NA,NA,NA,NA,NA
"191","Whooper Swan","Cygne chanteur","Cygnus cygnus","Cisne Cantor",5508,24.7,1240,5.59,686,3.09
"192","Trumpeter x Whooper Swan (hybrid)","Hybride Cygne trompette x C. chanteur","Cygnus buccinator x cygnus","Cisne Trompetero x Cantor (hibrido)",NA,NA,NA,NA,NA,NA
"193","Tundra/Whooper Swan","Cygne siffleur ou C. chanteur","Cygnus columbianus/cygnus","Cisne Chico/Cantor",NA,NA,NA,NA,NA,NA
"194","swan sp.","Cygne sp.","Cygnus sp.","Cisne sp.",NA,NA,NA,NA,NA,NA
"195","Coscoroba Swan","Coscoroba blanc","Coscoroba coscoroba","Cisne Coscoroba",1948,8.74,NA,NA,1785,8.04
"196","Knob-billed Duck","Canard a bosse","Sarkidiornis melanotos","Pato Crestudo Afroasiatico",NA,NA,NA,NA,NA,NA
"197","Comb Duck","Canard sylvicole","Sarkidiornis sylvicola","Pato Crestudo Americano",NA,NA,NA,NA,NA,NA
"198","Hartlaub's Duck","Pteronette de Hartlaub","Pteronetta hartlaubii","Pato de Hartlaub",NA,NA,NA,NA,NA,NA
"199","Orinoco Goose","Ouette de l'Orenoque","Oressochen jubatus","Ganso del Orinoco",655,2.94,NA,NA,NA,NA
"200","Andean Goose","Ouette des Andes","Oressochen melanopterus","Cauquen Guayata",1482,6.65,NA,NA,NA,NA
"201","Upland Goose","Ouette de Magellan","Chloephaga picta","Cauquen Comun",2742,12.3,1135,5.11,1353,6.09
"202","Upland Goose (White-breasted)","Ouette de Magellan (forme a poitrine blanche)","Chloephaga picta (White-breasted)","Cauquen Comun (de pecho blanco)",NA,NA,NA,NA,NA,NA
"203","Upland Goose (Bar-breasted)","Ouette de Magellan (forme a poitrine rayee)","Chloephaga picta (Bar-breasted)","Cauquen Comun (de pecho barreado)",NA,NA,NA,NA,NA,NA
"204","Kelp Goose","Ouette marine","Chloephaga hybrida","Cauquen Caranca",644,2.89,NA,NA,NA,NA
"205","Ashy-headed Goose","Ouette a tete grise","Chloephaga poliocephala","Cauquen Cabecigris",NA,NA,NA,NA,NA,NA
"206","Ruddy-headed Goose","Ouette a tete rousse","Chloephaga rubidiceps","Cauquen Colorado",NA,NA,NA,NA,3160,14.23
"207","Chloephaga sp.","Chloephaga sp.","Chloephaga sp.","Cauquen sp.",NA,NA,NA,NA,NA,NA
"208","Radjah Shelduck","Tadorne radjah","Radjah radjah","Tarro Raja",1164,5.22,NA,NA,NA,NA
"209","Egyptian Goose","Ouette d'egypte","Alopochen aegyptiaca","Ganso del Nilo",8471,37.99,NA,NA,2885,13
"210","Mauritius Shelduck","Ouette de Maurice","Alopochen mauritiana","Ganso de Mauricio",NA,NA,NA,NA,NA,NA
"211","Reunion Shelduck","Ouette de La Reunion","Alopochen kervazoi","Ganso de Reunion",NA,NA,NA,NA,NA,NA
"212","Ruddy Shelduck","Tadorne casarca","Tadorna ferruginea","Tarro Canelo",3942,17.68,4496,20.25,976,4.4
"213","Egyptian Goose x Ruddy Shelduck (hybrid)","Hybride Ouette d'egypte x Tadorne casarca","Alopochen aegyptiaca x Tadorna ferruginea","Ganso del Nilo x Tarro Canelo (hibrido)",NA,NA,NA,NA,NA,NA
"214","South African Shelduck","Tadorne a tete grise","Tadorna cana","Tarro Sudafricano",584,2.62,NA,NA,NA,NA
"215","Australian Shelduck","Tadorne d'Australie","Tadorna tadornoides","Tarro Australiano",1058,4.74,NA,NA,NA,NA
"216","Paradise Shelduck","Tadorne de paradis","Tadorna variegata","Tarro Maori",1706,7.65,NA,NA,NA,NA
"217","Common Shelduck","Tadorne de Belon","Tadorna tadorna","Tarro Blanco",1150,5.16,1894,8.53,6189,27.88
