species_code,avibase_code,taxon_order,category,primary_com_name,cur_alternate_com_name,sci_name,com_name_locale_code
bokmak3,avibase-46C6989A,19387,issf,Bokmakierie (Chimanimani),Bubu Silbon (restrictus),Telophorus zeylonus restrictus,es
gygbus1,avibase-EF5EDE6D,19388,species,Gray-green Bushshrike,Bubu de Bocage,Telophorus bocagei,es
subbus1,avibase-F3DCCA8F,19391,species,Sulphur-breasted Bushshrike,Bubu Azufrado,Telophorus sulfureopectus,es
olibus1,avibase-89A9E67C,19394,species,Olive Bushshrike,Bubu Olivaceo,Telophorus olivaceus,es
macbus2,avibase-3703187C,19400,species,Many-colored Bushshrike,Bubu Multicolor,Telophorus multicolor,es
blfbus1,avibase-5CE2F0DC,19404,species,Black-fronted Bushshrike,Bubu Frentinegro,Telophorus nigrifrons,es
mtkbus1,avibase-456567FF,19408,species,Mount Kupe Bushshrike,Bubu del Kupe,Telophorus kupeensis,es
focbus2,avibase-ACDC8DEE,19409,species,Four-colored Bushshrike,Bubu Verde,Telophorus viridis,es
focbus1,avibase-EA72BB29,19410,issf,Four-colored Bushshrike (Gorgeous),Bubu Verde (viridis),Telophorus viridis viridis,es
focbus3,avibase-65EF9CD1,19411,issf,Four-colored Bushshrike (Four-colored),Bubu Verde (grupo quadricolor),Telophorus viridis [quadricolor Group],es
dohbus1,avibase-0BC36521,19415,species,Doherty's Bushshrike,Bubu de Doherty,Telophorus dohertyi,es
fibbus1,avibase-2714B2A7,19416,species,Fiery-breasted Bushshrike,Gladiador Cruento,Malaconotus cruentus,es
lagbus1,avibase-ADFACA26,19417,species,Lagden's Bushshrike,Gladiador de Lagden,Malaconotus lagdeni,es
lagbus2,avibase-92410ADE,19418,issf,Lagden's Bushshrike (Lagden's),Gladiador de Lagden (lagdeni),Malaconotus lagdeni lagdeni,es
lagbus3,avibase-28A063A5,19419,issf,Lagden's Bushshrike (Eastern),Gladiador de Lagden (centralis),Malaconotus lagdeni centralis,es
grbbus1,avibase-5C543B0A,19420,species,Green-breasted Bushshrike,Gladiador Pechiverde,Malaconotus gladiator,es
gyhbus1,avibase-641068BB,19421,species,Gray-headed Bushshrike,Gladiador Cabecigris,Malaconotus blanchoti,es
monbus1,avibase-AE3EFAF9,19429,species,Monteiro's Bushshrike,Gladiador de Monteiro,Malaconotus monteiri,es
monbus2,avibase-ECD16060,19430,issf,Monteiro's Bushshrike (Mt. Cameroon),Gladiador de Monteiro (perspicillatus),Malaconotus monteiri perspicillatus,es
monbus3,avibase-C14FF5D1,19431,issf,Monteiro's Bushshrike (Monteiro's),Gladiador de Monteiro (monteiri),Malaconotus monteiri monteiri,es
ulubus1,avibase-9941D6E1,19432,species,Uluguru Bushshrike,Gladiador de Las Uluguru,Malaconotus alius,es
bushsh1,avibase-320AD31B,19433,spuh,bushshrike sp.,Bubu/Gladiador sp.,Telophorus/Malaconotus sp.,es
papdro1,avibase-F2BE556C,19434,species,Drongo Fantail,Drongo Papu,Chaetorhynchus papuensis,es
cepfly1,avibase-4B00D50E,19435,species,Cerulean Flycatcher,Monarca de Rowley,Eutrichomyias rowleyi,es
silkta2,avibase-41898F4D,19436,species,Taveuni Silktail,Monarca de Taveuni,Lamprolia victoriae,es
silkta3,avibase-20AD6203,19437,species,Natewa Silktail,Monarca de Natewa,Lamprolia klinesmithi,es
blafan1,avibase-4A8F6276,19438,species,Black Fantail,Abanico Negro,Rhipidura atra,es
bacfan1,avibase-538988A8,19441,species,Black-and-cinnamon Fantail,Abanico Rojinegro,Rhipidura nigrocinnamomea,es
blufan1,avibase-9D0040D1,19444,species,Mindanao Blue-Fantail,Abanico Azul de Mindanao,Rhipidura superciliaris,es
visblf1,avibase-B9F9C6EE,19447,species,Visayan Blue-Fantail,Abanico Azul de Las Bisayas,Rhipidura samarensis,es
tabfan1,avibase-D934677B,19448,species,Tablas Fantail,Abanico Cabeciazul de Tablas,Rhipidura sauli,es
visfan1,avibase-F893CBF6,19449,species,Visayan Fantail,Abanico Cabeciazul de Las Bisayas,Rhipidura albiventris,es
blhfan1,avibase-3A07746B,19450,species,Blue-headed Fantail,Abanico Cabeciazul,Rhipidura cyaniceps,es
spofan1,avibase-B5A920A2,19453,species,Spotted Fantail,Abanico Perlado,Rhipidura perlata,es
citfan1,avibase-C38375A3,19454,species,Cinnamon-tailed Fantail,Abanico Colicanela,Rhipidura fuscorufa,es
whwfan1,avibase-8B16299C,19455,species,Cockerell's Fantail,Abanico de Cockerell,Rhipidura cockerelli,es
cocfan1,avibase-7FF0AAA1,19456,issf,Cockerell's Fantail (White-winged),Abanico de Cockerell (grupo cockerelli),Rhipidura cockerelli [cockerelli Group],es
cocfan2,avibase-4AFA9ADE,19461,issf,Cockerell's Fantail (Dot-breasted),Abanico de Cockerell (lavellae),Rhipidura cockerelli lavellae,es
cocfan3,avibase-6B927112,19462,issf,Cockerell's Fantail (Black-breasted),Abanico de Cockerell (albina),Rhipidura cockerelli albina,es
cocfan4,avibase-0F995883,19463,issf,Cockerell's Fantail (Spot-breasted),Abanico de Cockerell (coultasi),Rhipidura cockerelli coultasi,es
norfan1,avibase-E16560EF,19464,species,Northern Fantail,Abanico Norteno,Rhipidura rufiventris,es
norfan2,avibase-EBBFEE60,19465,issf,Northern Fantail (Obi),Abanico Norteno (obiensis),Rhipidura rufiventris obiensis,es
norfan3,avibase-46D6706A,19466,issf,Northern Fantail (Buru),Abanico Norteno (bouruensis),Rhipidura rufiventris bouruensis,es
norfan4,avibase-283C2BCA,19467,issf,Northern Fantail (Kai),Abanico Norteno (assimilis/finitima),Rhipidura rufiventris assimilis/finitima,es
norfan10,avibase-49BAF6B7,19470,issf,Northern Fantail (Seram),Abanico Norteno (cinerea),Rhipidura rufiventris cinerea,es
norfan5,avibase-1C3B3EEA,19471,issf,Northern Fantail (Rote),Abanico Norteno (tenkatei),Rhipidura rufiventris tenkatei,es
norfan6,avibase-EB9A19BE,19472,issf,Northern Fantail (Timor),Abanico Norteno (rufiventris/pallidiceps),Rhipidura rufiventris rufiventris/pallidiceps,es
norfan11,avibase-7C5F3049,19475,issf,Northern Fantail (Banda Sea),Abanico Norteno (hoedti),Rhipidura rufiventris hoedti,es
norfan12,avibase-A62D7BB5,19476,issf,Northern Fantail (Biak),Abanico Norteno (kordensis),Rhipidura rufiventris kordensis,es
norfan8,avibase-032126B3,19477,issf,Northern Fantail (Chin-spot),Abanico Norteno (nigromentalis),Rhipidura rufiventris nigromentalis,es
norfan9,avibase-35080588,19478,issf,Northern Fantail (Melanesian),Abanico Norteno (grupo setosa),Rhipidura rufiventris [setosa Group],es
norfan13,avibase-AEA624D4,19487,issf,Northern Fantail (Northern),Abanico Norteno (isura),Rhipidura rufiventris isura,es
brcfan1,avibase-B81C0B31,19488,species,Brown-capped Fantail,Abanico Cabecipardo,Rhipidura diluta,es
sotfan1,avibase-EF534053,19491,species,Sooty Thicket-Fantail,Abanico del Matorral,Rhipidura threnothorax,es
bltfan1,avibase-4EB50482,19494,species,Black Thicket-Fantail,Abanico Colipinto,Rhipidura maculipectus,es
wbtfan1,avibase-9A6974DC,19495,species,White-bellied Thicket-Fantail,Abanico Pechiblanco,Rhipidura leucothorax,es
wilwag1,avibase-F65B55BD,19498,species,Willie-wagtail,Abanico Lavandera,Rhipidura leucophrys,es
piefan1,avibase-75B49C25,19502,species,Malaysian Pied-Fantail,Abanico Pio de La Sonda,Rhipidura javanica,es
phipif1,avibase-7EAC662D,19505,species,Philippine Pied-Fantail,Abanico Pio de Filipinas,Rhipidura nigritorquis,es
whtfan1,avibase-F2074D00,19506,species,White-throated Fantail,Abanico Gorjiblanco,Rhipidura albicollis,es
spbfan1,avibase-E12FE273,19516,species,Spot-breasted Fantail,Abanico Pechipinto,Rhipidura albogularis,es
x00812,avibase-0AE841C3,19519,hybrid,White-throated x Spot-breasted Fantail (hybrid),Abanico Gorjiblanco x Pechipinto (hibrido),Rhipidura albicollis x albogularis,es
y00892,avibase-191BB549,19520,slash,White-throated/Spot-breasted Fantail,Abanico Gorjiblanco/Pechipinto,Rhipidura albicollis/albogularis,es
rutfan1,avibase-30607910,19521,species,Rufous-tailed Fantail,Abanico Colirrojo,Rhipidura phoenicura,es
whbfan1,avibase-E191588D,19522,species,White-bellied Fantail,Abanico Ventriblanco,Rhipidura euryura,es
